product_id,sku,brand,model,product_family,device_type,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,weight_kg,warranty_months,msrp
P000001,LP-SAMSUNG-PRO-KM8-2022,Samsung,Samsung Pro KM8,Pro,Laptop,2022,Windows,Mainstream,Intel,Intel i7-11114,4,12,24,2.6,3.6,NVIDIA,RTX 40 80,4,10,64,NVMe,512,1,OLED,16.0,1920x1080,90,56,120,2.03,12,2274.99
P000002,LP-GIGABYTE-PRO-IX1-2024,Gigabyte,Gigabyte Pro IX1,Pro,Laptop,2024,Linux,Gaming,AMD,AMD Ryzen 7 6230,5,16,32,2.8,3.9,NVIDIA,RTX 30 80 Ti,5,12,96,NVMe,256,1,Mini-LED,15.6,2560x1600,90,80,90,1.5,12,2681.99
P000003,LP-DELL-CREATOR-GIQ-2024,Dell,Dell Creator GIQ,Creator,Laptop,2024,Windows,Mainstream,Intel,Intel i9-14473,6,26,52,3.0,4.1,NVIDIA,RTX 40 90,6,16,128,SSD,1024,1,LED,14.0,2560x1600,60,80,240,1.17,48,2953.99
P000004,LP-LENOVO-BLADE-MIZ-2025,Lenovo,Lenovo Blade MIZ,Blade,Laptop,2025,Windows,Ultrabook,AMD,AMD Ryzen 3 4374,1,4,8,2.0,2.9,NVIDIA,RTX 30 50,1,4,8,NVMe,512,1,IPS,15.6,3840x2160,120,60,45,1.5,24,1653.99
P000005,LP-HP-PRO-6XS-2023,HP,HP Pro 6XS,Pro,Laptop,2023,Windows,Mainstream,Intel,Intel i5-13209,2,6,12,2.2,3.1,NVIDIA,RTX 40 60,2,6,16,NVMe,1024,1,Mini-LED,17.3,1920x1080,165,70,90,1.24,36,1371.99
P000006,LP-LENOVO-LEGION-SZI-2024,Lenovo,Lenovo Legion SZI,Legion,Laptop,2024,Windows,2-in-1,AMD,AMD Ryzen 7 5955,5,18,36,2.8,3.6,NVIDIA,RTX 30 70,3,8,64,SSD,1024,1,LED,15.6,1920x1080,90,56,65,1.7,12,2045.99
P000007,LP-DELL-NITRO-614-2024,Dell,Dell Nitro 614,Nitro,Laptop,2024,Windows,Ultrabook,AMD,AMD Ryzen 7 5302,4,14,28,2.6,3.6,NVIDIA,RTX 30 70,3,8,32,SSD,1024,1,LED,15.6,2560x1600,60,70,180,1.1,24,2109.99
P000008,LP-ACER-ZEN-NYU-2020,Acer,Acer Zen NYU,Zen,Laptop,2020,macOS,Gaming,AMD,AMD Ryzen 7 7128,4,14,28,2.6,3.4,NVIDIA,RTX 40 80 Ti,5,12,64,HDD,1024,1,OLED,14.0,2560x1600,60,80,90,1.87,24,2678.99
P000009,LP-APPLE-BLADE-0BN-2023,Apple,Apple Blade 0BN,Blade,Laptop,2023,Windows,Mainstream,Apple,Apple M3 Pro,5,18,18,2.8,3.6,Apple,Apple Integrated,6,6,96,NVMe,1024,1,QLED,14.0,1920x1080,60,60,45,1.17,24,3421.99
P000010,LP-DELL-SLIM-NHG-2024,Dell,Dell Slim NHG,Slim,Laptop,2024,Windows,Mainstream,Intel,Intel i7-12360,5,18,36,2.8,3.7,AMD,RX 7000 80 XT,5,12,96,Hybrid,1024,1,OLED,17.3,1920x1080,90,70,120,1.44,24,2560.99
