repair_id,product_id,sku,component_id,component_type,failure_date,date_key,failure_year,failure_month,failure_quarter,failure_type,failure_description,repair_status,warranty_claim,warranty_status,release_year,product_age_years,warranty_months,repair_cost,replacement_cost,bom_replacement_cost,cost_difference,repair_vs_replacement_ratio,downtime_days,component_cost,repairability_score,recyclability_score,estimated_resale_value,brand,model,product_family,msrp,component_type_bom
R0000001,P000002,LP-GIGABYTE-PRO-IX1-2024,BAT-GIGABYTE-PRO-IX1-2024,Battery,2024-02-09,20240209,2024,2,Q1,Battery not charging,Battery not charging reported for battery.,Component Replaced,True,Under Warranty,2024,0,12,209.62,209.62,209.62,0.0,1.0,3,198.34,8,5,120.83,Gigabyte,Gigabyte Pro IX1,Pro,2681.99,Battery
R0000002,P000003,LP-DELL-CREATOR-GIQ-2024,KBD-DELL-CREATOR-GIQ-2024,Keyboard,2024-09-19,20240919,2024,9,Q3,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,True,Under Warranty,2024,0,48,120.26,120.26,120.26,0.0,1.0,1,107.85,7,6,56.98,Dell,Dell Creator GIQ,Creator,2953.99,Keyboard
R0000003,P000007,LP-DELL-NITRO-614-2024,MB-DELL-NITRO-614-2024,Motherboard,2025-09-28,20250928,2025,9,Q3,Boot failure,Boot failure reported for motherboard.,Component Replaced,True,Under Warranty,2024,1,24,567.57,567.57,567.57,0.0,1.0,14,477.68,4,7,178.67,Dell,Dell Nitro 614,Nitro,2109.99,Motherboard
R0000004,P000009,LP-APPLE-BLADE-0BN-2023,RAM-APPLE-BLADE-0BN-2023,RAM,2026-06-24,20260624,2026,6,Q2,Memory error,Memory error reported for ram.,Component Replaced,False,Out of Warranty,2023,3,24,303.19,303.19,303.19,0.0,1.0,1,261.25,9,8,119.53,Apple,Apple Blade 0BN,Blade,3421.99,RAM
R0000005,P000012,LP-APPLE-AIR-W7N-2022,BAT-APPLE-AIR-W7N-2022,Battery,2023-05-08,20230508,2023,5,Q2,Battery not charging,Battery not charging reported for battery.,End of Life,False,Out of Warranty,2022,1,12,65.99,350.05,350.05,284.06,0.18851592629624336,2,292.68,8,5,64.82,Apple,Apple Air W7N,Air,3546.99,Battery
R0000006,P000013,LP-SAMSUNG-BLADE-1NN-2024,BAT-SAMSUNG-BLADE-1NN-2024,Battery,2026-07-17,20260717,2026,7,Q3,Battery not charging,Battery not charging reported for battery.,Component Replaced,False,Out of Warranty,2024,2,24,214.03,214.03,214.03,0.0,1.0,3,172.88,8,5,79.35,Samsung,Samsung Blade 1NN,Blade,2386.99,Battery
R0000007,P000015,LP-SAMSUNG-SLIM-OOO-2021,MB-SAMSUNG-SLIM-OOO-2021,Motherboard,2022-09-19,20220919,2022,9,Q3,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,True,Under Warranty,2021,1,24,653.9,653.9,653.9,0.0,1.0,11,532.01,4,7,199.58,Samsung,Samsung Slim OOO,Slim,2269.99,Motherboard
R0000008,P000016,LP-HP-THINK-E41-2021,MB-HP-THINK-E41-2021,Motherboard,2024-10-06,20241006,2024,10,Q4,Boot failure,Boot failure reported for motherboard.,Component Replaced,False,Out of Warranty,2021,3,36,315.9,315.9,315.9,0.0,1.0,9,295.17,4,7,70.21,HP,HP Think E41,Think,1274.99,Motherboard
R0000009,P000017,LP-APPLE-THINK-YDD-2020,DSP-APPLE-THINK-YDD-2020,Display,2021-07-02,20210702,2021,7,Q3,Dead pixels,Dead pixels reported for display.,Component Replaced,True,Under Warranty,2020,1,24,688.82,688.82,688.82,0.0,1.0,3,622.16,6,6,367.62,Apple,Apple Think YDD,Think,3163.99,Display
R0000010,P000017,LP-APPLE-THINK-YDD-2020,BAT-APPLE-THINK-YDD-2020,Battery,2022-12-09,20221209,2022,12,Q4,Battery swelling,Battery swelling reported for battery.,Component Replaced,False,Out of Warranty,2020,2,24,241.81,241.81,241.81,0.0,1.0,2,228.42,8,5,137.28,Apple,Apple Think YDD,Think,3163.99,Battery
